"FUNCION","DIMENSIONES","RADIO","VECINOS","TLISTA TABU","MAX F.O.","MIN F.O.","PROMEDIO F.O."
"Schwefel","50","0.2","20","150","14684062.1104","234825.3474","4178264.0103"
"Schwefel","50","0.6","10","50","1905668.2087","67743.1757","345594.0173"
"Schwefel","50","0.6","10","100","2301907.7907","77805.9959","524107.6219"
"Schwefel","50","0.6","10","150","18232070.3818","73923.4243","1985510.9608"
"Schwefel","50","0.6","20","50","16553678.8259","73845.7535","1517930.4180"
"Schwefel","50","0.6","20","100","6193961.7018","56106.4098","626986.9382"
"Schwefel","50","0.6","20","150","5760199.8560","64813.7871","1193219.5026"
"Schwefel","50","1.0","10","50","152568.6629","33919.6864","67372.0854"
"Schwefel","50","1.0","10","100","202908.3368","24990.0405","64959.7106"
"Schwefel","50","1.0","10","150","508266.7057","27086.5920","67828.6683"
"Schwefel","50","1.0","20","50","112149.5417","22059.8201","43508.2035"
"Schwefel","50","1.0","20","100","66619.1349","23254.8600","39124.5051"
"Schwefel","50","1.0","20","150","296667.1874","20495.9264","52947.8693"
"Schwefel","100","0.2","10","50","38189227.0871","844567.2923","11334645.6495"
"Schwefel","100","0.2","10","100","103641167.1426","1062451.2205","10444094.8739"
"Schwefel","100","0.2","10","150","30731320.2792","697397.8285","4754214.7091"
"Schwefel","100","0.2","20","50","76590141.2430","1142367.9329","12881151.8495"
"Schwefel","100","0.2","20","100","42359871.7052","495370.7304","6726679.1389"
"Schwefel","100","0.2","20","150","42630114.8083","740067.6087","7415506.0444"
"Schwefel","100","0.6","10","50","37514781.5316","664138.6385","5471867.7077"
"Schwefel","100","0.6","10","100","74919434.4765","517077.5837","8529358.3003"
"Schwefel","100","0.6","10","150","20310073.1289","553968.2596","5490803.0545"
"Schwefel","100","0.6","20","50","34079614.8417","443961.4660","4476868.3691"
"Schwefel","100","0.6","20","100","106937063.9717","439452.1368","8197150.1152"
"Schwefel","100","0.6","20","150","82142829.8314","454607.2928","8064457.5415"
"Schwefel","100","1.0","10","50","3160883.2006","194534.7277","518281.9305"
"Schwefel","100","1.0","10","100","615714.5785","186821.6983","326911.1279"
"Schwefel","100","1.0","10","150","5211671.7125","223880.2248","750705.5480"
"Schwefel","100","1.0","20","50","1159351.3363","154699.3645","378953.6078"
"Schwefel","100","1.0","20","100","1602340.0701","155031.1226","382091.2187"
"Schwefel","100","1.0","20","150","1290035.0709","184529.6804","437033.8075"
"Rastrigin","20","0.2","10","50","102280.6368","48515.6984","71678.8768"
